Tiempo inicio del ensayo: 2020-09-09 11:44:17.942376
LWC (g/m3)=8
MVD (um)=20
FBG1	FBG2	FBG3	FBG4	FBG5	FBG6	FBG7	FBG8	FBG9	FBG10	FBG11	FBG12	FBG13	FBG14	FBG15	FBG16	Tiempo (s)
-3.07	-4.23	-4.15	-4.09	-4.47	-4.84	-5.03	-5.08	-2.12	-3.83	-4.4	-4.52	-4.64	-4.94	-5.47	-5.73	3.9	
-3.21	-4.25	-4.32	-3.91	-4.43	-4.69	-5.16	-4.97	-1.98	-3.99	-4.28	-4.46	-4.76	-4.86	-5.35	-5.82	4.0	
-3.21	-4.35	-4.05	-4.03	-4.41	-4.63	-5.03	-5.12	-2.23	-3.77	-4.38	-4.42	-4.66	-5.05	-5.37	-5.76	4.1	
-3.11	-4.31	-4.15	-3.87	-4.47	-4.43	-5.09	-5.27	-2.04	-3.87	-4.22	-4.52	-4.66	-5.15	-5.31	-5.73	4.2	
-2.93	-4.41	-4.32	-4.29	-4.49	-4.57	-5.09	-4.97	-2.0	-4.07	-4.28	-4.6	-4.7	-4.76	-5.47	-5.61	4.3	
-3.27	-4.29	-3.99	-4.09	-4.36	-4.69	-5.09	-5.16	-2.38	-3.68	-4.34	-4.76	-4.7	-4.82	-5.31	-5.34	4.4	
-3.13	-4.31	-3.91	-4.19	-4.39	-4.59	-5.09	-4.76	-2.23	-3.95	-4.42	-4.46	-4.76	-4.64	-5.39	-5.59	4.5	
-3.19	-4.37	-4.07	-4.11	-4.43	-4.73	-5.09	-5.1	-2.32	-4.09	-4.38	-4.83	-4.7	-4.97	-5.35	-5.71	4.6	
-3.23	-4.31	-3.99	-4.27	-4.34	-4.78	-5.03	-5.06	-2.38	-3.79	-4.49	-4.62	-4.72	-4.74	-5.41	-5.8	4.7	
-3.17	-4.43	-4.23	-4.19	-4.45	-4.82	-5.03	-5.23	-2.17	-4.03	-4.42	-4.52	-4.72	-4.86	-5.52	-5.78	4.8	
-3.17	-4.29	-4.17	-4.17	-4.49	-4.59	-5.11	-4.89	-2.3	-3.87	-4.4	-4.54	-4.76	-4.82	-5.47	-5.86	4.9	
-3.29	-4.37	-4.13	-4.17	-4.49	-4.78	-5.03	-5.18	-2.27	-3.87	-4.16	-4.46	-4.76	-4.99	-5.25	-5.61	5.0	
-3.35	-4.37	-4.23	-4.11	-4.37	-4.63	-5.16	-5.27	-2.21	-4.01	-4.24	-4.46	-4.76	-4.94	-5.33	-5.69	5.1	
-3.03	-4.41	-3.99	-4.03	-4.47	-4.59	-5.03	-4.93	-2.42	-3.77	-4.4	-4.7	-4.76	-4.88	-5.43	-5.99	5.2	
-3.4	-4.31	-4.32	-4.07	-4.34	-4.8	-5.05	-4.97	-2.04	-3.74	-4.22	-4.76	-4.76	-5.25	-5.35	-5.8	5.3	
